warehouse,ItemCode,Description,Assortment,ItemGroup,ItemUnit,Stock,QtyToBeDelivered,CHK
6,10024,ETERKYD 211-X-70,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10256,ALKYD PASTE BLACK OXIDE,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10289,1302-FT OXAZINE  VIOLET,24-Jan-00,Nova Raw Material,LT, -   , -   ,-
6,10293,1306-LT PHTHALOCYANINE GREEN,24-Jan-00,Nova Raw Material,LT, -   , -   ,-
6,301003-NOVA,METAL PAIL 1 US GALLON,25-Jan-00,Nova Packing Material,EA, -   , -   ,-
8,101010-01,Genamin TAP 100,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,102034-01,MECELLOSE FMC-25002,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,107014,BYK 066,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,301130,CARDBOARD SHEET,13-Jan-00,Packing Materials,EA, -   , -   ,-
8,601161,CAPSTICK,9-Jan-00,Trading Materials,EA, -   , -   ,-
8,601166-02,3M CONCRETE PRIMER (GL) -2271,9-Jan-00,Trading Materials,GL, -   , -   ,-
HO,105014,CALCIUM CARBONATE 100mc,1-Jan-00,Raw Materials,kg, -   , -   ,-
PROD,10055,BUTYL ACETATE,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
PROD,1009-NV001-P18LT,Nova High Gloss (NON KSS) 18 LTR PAIL,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
PROD,1009-NVC006-P01LT,Nova High Gloss (NON KSS) COLOR-006 1LT,26-Jan-00,Nova Finished Goods,LT, -   , -   ,-
PROD,1009-NVC019-P01USG,Nova High Gloss (NON KSS) COLOR-019 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
PROD,10096-ABIR,BORDEAUX (REDOX) PST32 KG SBRL,27-Jan-00,ABIR Stock,kg, -   , -   ,-
PROD,1010-NVC033-P01USG,Nova Int  Emulsion(NON KSS) COLOR-033 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
PROD,1010-NVC034-P01USG,Nova Int  Emulsion(NON KSS) COLOR-034 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
PROD,1010-NVC035-P01USG,Nova Int  Emulsion(NON KSS) COLOR-035 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
PROD,101003,DEFOAMENT (FOAMASTER ESA 120),1-Jan-00,Raw Materials,kg, -   , -   ,-
PROD,101013,SUGAR,1-Jan-00,Raw Materials,kg, 110.31 , 390.88 ,#N/A
PROD,101025,POWER FLOW- HWR,1-Jan-00,Raw Materials,kg, -   , -   ,-
PROD,10103-ABIR,DARK RED PST           (INTISAR),27-Jan-00,ABIR Stock,kg, -   , -   ,-
PROD,101030,MIGHTY-21   ES,1-Jan-00,Raw Materials,kg, -   , -   ,-
2,440031-B10,CAPTILE GROUT PINK R-101 (10 KG BAG),4-Jan-00,Cementitious Products,EA, -   , -   ,-
2,450009-P15,CAP TAR EPOXY (A+B) 15LTR KIT,12-Jan-00,Epoxy Materials,EA, -   , -   ,-
2,450021-20,CAPOXY FLOOR SL (RAL 7001) 20 LTR (A+B+C),12-Jan-00,Epoxy Materials,EA, 14.00 , -   ,450021-20
2,450032-30,CAPOXY MORTAR TA (30KG) (A+B+C),12-Jan-00,Epoxy Materials,EA, -   , -   ,-
2,601176,INSUJET J1 ( 2.5MM ),9-Jan-00,Trading Materials,EA, -   , -   ,-
20,450029,CAPOXY GROUT (A+B+C) 30KG PACK,12-Jan-00,Epoxy Materials,EA, -   , -   ,-
3,421003-200,CAPSEAL SP  MIN. EMUL DRUM 200KG,3-Jan-00,Emulsified Bitumen Products,EA, -   , -   ,-
3,422004-01-P15,PRIME-GUARD PAIL-15 KG,3-Jan-00,Emulsified Bitumen Products,EA, -   , -   ,-
3,440001-B10,CAPTILE GROUT  CEMENT GREY S-104  (10KG Bag),4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,440003-B10,CAPTILE GROUT GRAY S-103 10KG BAG,4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,440019-B20,CAPHYDROSEAL PART A 15KG BAG,4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,440022-B25,Captile Fix TG White 25kg Bag,4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,440057-B10,CAPTILE GROUT DARK YELLOW Y-105 (10KG),4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,470001-GL1,PG-10 GUN GRADE (GG) GRAY 1 GL,7-Jan-00,Sealant Products,EA, -   , -   ,-
3,601176,INSUJET J1 ( 2.5MM ),9-Jan-00,Trading Materials,EA, -   , -   ,-
4,101028-05,PNS 1000P,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,102021-09,SE 2646M,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,103002-06,APP-MFL2,1-Jan-00,Raw Materials,kg," 22,000.00 ", -   ,#N/A
4,104001-01,IRON OXIDE BLACK 330,1-Jan-00,Raw Materials,kg, 150.00 , -   ,#N/A
4,104030,CEMENT GREY,1-Jan-00,Raw Materials,kg," 34,000.00 ", -   ,#N/A
4,104042-03,PIGMENT PASTE -TC  21 -BLACK (CPS-21),1-Jan-00,Raw Materials,LT, -   , -   ,-
4,104042-09,PIGMENT PASTE -VIOLET -TC-29,1-Jan-00,Raw Materials,LT, 32.98 , -   ,#N/A
4,104042-16,TC-27 PYRAZOLO CHINAZOLAN RED,1-Jan-00,Raw Materials,LT, 24.00 , -   ,#N/A
4,104074,1304-KS MONOAZO YELLOW,1-Jan-00,Raw Materials,LT, 36.00 , -   ,#N/A
4,106001-02,TAR COMPOUND CTC-50P-29,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,106005-01,HARDNER KH-816,1-Jan-00,Raw Materials,kg," 11,160.00 ", -   ,#N/A
4,106006-22,HARDNER -TH 430,1-Jan-00,Raw Materials,kg, 540.00 , -   ,#N/A
4,107003,SANTICIZER S-261,1-Jan-00,Raw Materials,kg, 90.00 , -   ,#N/A
4,107005,CHLORINATED PARAFFINKG WAX-58%,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,107067-01,Kondicryl SV 719X,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,107072,MANGANESE DIOXIDE CURE PASTE 50,1-Jan-00,Raw Materials,kg, 500.00 , -   ,#N/A
4,201021,3307 SIGMA COAL TAR EPOXY COATING,1-Jan-00,Raw Materials,LT, -   , -   ,-
4,301006-04,PLASTIC PAIL 5 KG -BLUE COLOR AHLIA PRINTED,13-Jan-00,Packing Materials,EA, 381.00 , -   ,#N/A
4,301007,METAL PAIL 4 LTR,13-Jan-00,Packing Materials,EA, 731.00 , -   ,#N/A
4,301013,POLYTHENE BAG AHLIA PRINTED 10 KG,13-Jan-00,Packing Materials,EA," 4,582.00 ", -   ,#N/A
4,301014,METAL PAIL 18 LTR CAPSEAL,13-Jan-00,Packing Materials,EA," 5,600.00 ", -   ,#N/A
4,301024,POLYTHENE BAG WHITE 10 KG,13-Jan-00,Packing Materials,EA," 5,610.00 ", -   ,#N/A
4,301113-04,PLASTIC PAIL 20 LTS - WHITE COLOR PRINTED IN BLUE,13-Jan-00,Packing Materials,EA, 452.00 , -   ,#N/A
4,301113-06,PLASTIC PAIL 13.5 LTR - PLAIN (DRUM TYPE),13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301114-02,"PLASTIC PAIL PRINTED 5 Ltr MILKY ""BEST BOND""",13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301116-04,"METAL PAIL-16 LTR PRINTED ""PRIME-GUARD""",13-Jan-00,Packing Materials,EA," 3,924.00 ", -   ,#N/A
4,301126,POLY BAG 36X36,13-Jan-00,Packing Materials,EA," 80,907.00 ", -   ,#N/A
4,800005,POLYOL LUPRANOL 3403,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800043,POLYOL IXOL B251,16-Jan-00,Raw Materials Sandwich Panel,kg, 300.00 , -   ,#N/A
4,800057,CAT-JD*18 / TMR-2,8-Jan-00,Sandwich Panel Products,kg, 324.00 , -   ,#N/A
4,800062,CAT-JD*PMDETA / AM-1,8-Jan-00,Sandwich Panel Products,kg, -   , -   ,-
4,800067,POLYOL ZS 8210,8-Jan-00,Sandwich Panel Products,kg, -   , -   ,-
4,810005-004,ACI POLYOL PAN - 40 / FAT-CPL,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820032,ACI POLYOL PAN-40/PAR2,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820039,ACI-POLYOL PAN-40/EEC,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
6,10051,BLOCKED- TEXANOL,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10053,MONOETHYLENE GLYCOL (MEG),24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10127,CACO3  100 MIC,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10132,CACO3  7C (#20C) or Novacarb 20C,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10134,CACO 3 -GC -3-5,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,1016-NV001-BLK,Nova QUICK DRY PASTE- 1622,26-Jan-00,Nova Finished Goods,kg, -   , -   ,-
6,10204,ADDITOL VXL 4930,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,10249,ALKYD PASTE YELLOW OXIDE,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
8,102001,EMULSIFIER,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,102033-01,TECHNOCEL 1004-7N,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,105001,WATER,1-Jan-00,Raw Materials,LT, -   , -   ,-
8,106004,RESIN YD-128,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,107002,THIXATROL ST,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,107010,NOVOCARB 20,1-Jan-00,Raw Materials,kg, -   , -   ,-
8,601163,3M POLYOLEFIN FIBER,9-Jan-00,Trading Materials,kg, -   , -   ,-
HO,301131,CARTON BOX,13-Jan-00,Packing Materials,EA, -   , -   ,-
PROD,10053,MONOETHYLENE GLYCOL (MEG),24-Jan-00,Nova Raw Material,kg, -   , -   ,-
PROD,10079-ABIR,CHROME YELLOW L-   1622  25 KG PPRBG,27-Jan-00,ABIR Stock,kg, -   , -   ,-
